step,time,event,robot_id,victim_index,x,y,fp_index,robots,mean_signal
0,0.0,detect_victim,1.0,1.0,0.5,1.3277881914895575,,,
0,0.0,detect_fp,1.0,,0.5,1.3277881914895575,6.0,,
0,0.0,detect_victim,10.0,1.0,0.5,1.2265573691637037,,,
0,0.0,detect_fp,10.0,,0.5,1.2265573691637037,6.0,,
0,0.0,detect_victim,16.0,1.0,0.5,2.0807720401792897,,,
0,0.0,detect_fp,16.0,,0.5,2.0807720401792897,6.0,,
0,0.0,fp_resolved,,,,,6.0,R0;R3;R4;R12,0.0
12,1.2000000000000002,detect_victim,9.0,1.0,1.0602578595960042,2.567688656819182,,,
28,2.8000000000000003,detect_victim,18.0,1.0,1.148776253387341,2.588709171273623,,,
29,2.9000000000000004,detect_victim,17.0,1.0,1.188109904902229,2.6047350550426365,,,
65,6.5,detect_fp,4.0,,3.3558646446353375,5.865511563960457,5.0,,
65,6.5,detect_fp,19.0,,4.415940793302007,6.463869561402835,0.0,,
65,6.5,fp_resolved,,,,,0.0,R7;R12;R13;R19,0.08165539859435424
65,6.5,fp_resolved,,,,,5.0,R0;R4;R11;R15,0.08041895325737411
71,7.1000000000000005,detect_fp,8.0,,4.135794486106528,7.621409950399465,1.0,,
71,7.1000000000000005,fp_resolved,,,,,1.0,R5;R6;R8;R13,0.09996289040157856
75,7.5,detect_fp,19.0,,4.883894276172511,6.367668825018269,7.0,,
75,7.5,fp_resolved,,,,,7.0,R7;R12;R13;R19,0.11812262900697858
112,11.200000000000001,detect_victim,8.0,2.0,6.304628750253395,7.456372526102898,,,
115,11.5,detect_victim,13.0,2.0,6.636881974113903,7.1942970631100405,,,
119,11.9,detect_victim,5.0,2.0,6.0529640728664615,7.954045532377512,,,
119,11.9,detect_victim,6.0,2.0,6.4377127696983285,7.305742754619152,,,
119,11.9,detect_fp,12.0,,6.605671743314459,5.9876250382532055,4.0,,
119,11.9,fp_resolved,,,,,4.0,R0;R4;R7;R12,0.10865327229100791
122,12.200000000000001,detect_victim,2.0,2.0,6.401614996772708,7.380873292564937,,,
122,12.200000000000001,detect_victim,19.0,2.0,7.156486382019587,6.896140716153608,,,
128,12.8,detect_victim,0.0,2.0,6.808190525432252,6.993030183540799,,,
128,12.8,detect_victim,7.0,2.0,7.183281535565267,6.862718890225468,,,
128,12.8,detect_fp,8.0,,7.729918571349446,8.123164705256649,9.0,,
128,12.8,detect_victim,14.0,2.0,6.290334280653683,7.438493513148738,,,
128,12.8,fp_resolved,,,,,9.0,R0;R7;R12;R14,0.0
137,13.700000000000001,detect_victim,15.0,2.0,6.8144201781963565,7.002303451433309,,,
138,13.8,detect_victim,12.0,2.0,7.5991949217347505,6.851194508754938,,,
145,14.5,detect_victim,11.0,2.0,6.707134094661686,7.040857748188384,,,
150,15.0,detect_victim,3.0,2.0,6.378473227657346,7.367821855350394,,,
